id_pedido,data,produto,categoria,quantidade,preco_unitario,desconto,faturamento,custo,lucro,regiao,canal,forma_pagamento,status
1,2025-01-01,Chapinha,Beleza,4,135.51,0.121,476.45,224.07,252.38,Nordeste,App,Cartão,Concluído
2,2025-01-02,Mochila,Esportes,4,37.81,0.083,138.69,91.86,46.83,Centro-Oeste,Marketplace,Boleto,Concluído
3,2025-01-03,Jaqueta,Moda,4,441.54,0.007,1753.8,1075.19,678.61,Centro-Oeste,App,Cartão,Concluído
4,2025-01-04,Tapete de Yoga,Esportes,4,36.81,0.095,133.25,63.23,70.02,Centro-Oeste,Marketplace,Cartão,Concluído
5,2025-01-05,Tapete de Yoga,Esportes,4,309.9,0.143,1062.34,624.11,438.23,Nordeste,Site,Pix,Concluído
6,2025-01-06,Air Fryer,Casa,1,403.23,0.09,366.94,218.48,148.46,Norte,Site,Cartão,Concluído
7,2025-01-07,Bolsa,Moda,4,472.58,0.123,1657.81,828.46,829.35,Norte,App,Boleto,Concluído
8,2025-01-08,Bolsa,Moda,1,409.45,0.133,354.99,260.46,94.53,Sul,Marketplace,Boleto,Concluído
9,2025-01-09,Jaqueta,Moda,4,499.07,0.034,1928.41,1359.51,568.9,Norte,Marketplace,Pix,Cancelado
10,2025-01-10,Mochila,Esportes,3,142.23,0.032,413.04,268.77,144.27,Norte,Site,Cartão,Cancelado
11,2025-01-11,Secador,Beleza,2,354.55,0.092,643.86,379.03,264.83,Centro-Oeste,Site,Boleto,Concluído
12,2025-01-12,Bolsa,Moda,1,230.87,0.062,216.56,124.2,92.36,Centro-Oeste,App,Cartão,Concluído
13,2025-01-13,Mochila,Esportes,4,183.56,0.126,641.73,414.1,227.63,Sul,Site,Cartão,Concluído
14,2025-01-14,Aspirador,Casa,3,465.33,0.135,1207.53,740.98,466.55,Sudeste,App,Cartão,Concluído
15,2025-01-15,Chapinha,Beleza,2,398.21,0.053,754.21,353.48,400.73,Sul,Site,Pix,Concluído
16,2025-01-16,Jogo de Panelas,Casa,1,689.97,0.036,665.13,401.57,263.56,Sul,Site,Cartão,Concluído
17,2025-01-17,Kit Skincare,Beleza,2,354.99,0.117,626.91,433.77,193.14,Nordeste,Marketplace,Boleto,Concluído
18,2025-01-18,Bola,Esportes,3,163.69,0.041,470.94,276.81,194.13,Nordeste,Site,Cartão,Concluído
19,2025-01-19,Caixa de Som,Eletrônicos,1,425.51,0.123,373.17,173.74,199.43,Sul,Site,Boleto,Concluído
20,2025-01-20,Secador,Beleza,2,342.41,0.064,640.99,439.64,201.35,Sul,App,Cartão,Concluído
21,2025-01-21,Aspirador,Casa,4,220.43,0.1,793.55,405.04,388.51,Sul,Site,Boleto,Concluído
22,2025-01-22,Mochila,Esportes,1,65.35,0.014,64.44,34.0,30.44,Norte,App,Boleto,Concluído
23,2025-01-23,Chapinha,Beleza,2,185.4,0.094,335.94,167.77,168.17,Nordeste,Site,Cartão,Concluído
24,2025-01-24,Teclado,Eletrônicos,3,315.54,0.068,882.25,484.41,397.84,Sul,Site,Cartão,Concluído
25,2025-01-25,Caixa de Som,Eletrônicos,3,322.97,0.088,883.65,598.25,285.4,Centro-Oeste,App,Boleto,Concluído
26,2025-01-26,Bolsa,Moda,1,155.12,0.025,151.24,91.62,59.62,Centro-Oeste,Marketplace,Pix,Concluído
27,2025-01-27,Jaqueta,Moda,2,68.94,0.111,122.58,62.7,59.88,Norte,App,Cartão,Concluído
28,2025-01-28,Air Fryer,Casa,1,81.26,0.129,70.78,50.49,20.29,Norte,App,Pix,Concluído
29,2025-01-29,Hidratante,Beleza,1,444.97,0.033,430.29,307.17,123.12,Sudeste,App,Cartão,Concluído
30,2025-01-30,Hidratante,Beleza,2,215.39,0.014,424.75,302.07,122.68,Sudeste,Marketplace,Cartão,Concluído
31,2025-01-31,Camiseta,Moda,2,222.95,0.004,444.12,231.67,212.45,Sudeste,Site,Cartão,Concluído
32,2025-02-01,Kit Skincare,Beleza,4,318.66,0.096,1152.27,674.51,477.76,Norte,App,Cartão,Concluído
33,2025-02-02,Kit Skincare,Beleza,2,129.48,0.091,235.39,175.48,59.91,Norte,App,Pix,Concluído
34,2025-02-03,Caixa de Som,Eletrônicos,3,858.97,0.082,2365.6,1612.4,753.2,Norte,Marketplace,Cartão,Concluído
35,2025-02-04,Calça Jeans,Moda,1,403.86,0.035,389.72,178.55,211.17,Centro-Oeste,App,Boleto,Concluído
36,2025-02-05,Bola,Esportes,1,58.61,0.059,55.15,25.9,29.25,Norte,Site,Boleto,Concluído
37,2025-02-06,Calça Jeans,Moda,3,237.91,0.089,650.21,383.09,267.12,Centro-Oeste,Marketplace,Pix,Cancelado
38,2025-02-07,Tapete de Yoga,Esportes,2,311.32,0.075,575.94,416.27,159.67,Sudeste,Site,Cartão,Concluído
39,2025-02-08,Smartwatch,Eletrônicos,3,854.68,0.148,2184.56,1336.1,848.46,Sudeste,Site,Boleto,Concluído
40,2025-02-09,Aspirador,Casa,3,364.46,0.02,1071.51,642.2,429.31,Sudeste,Marketplace,Pix,Concluído
41,2025-02-10,Perfume,Beleza,4,291.5,0.104,1044.74,503.19,541.55,Sul,App,Cartão,Concluído
42,2025-02-11,Smartwatch,Eletrônicos,3,216.97,0.061,611.2,395.47,215.73,Sul,Site,Boleto,Concluído
43,2025-02-12,Kit Skincare,Beleza,1,446.38,0.064,417.81,291.06,126.75,Nordeste,Site,Boleto,Concluído
44,2025-02-13,Aspirador,Casa,3,215.95,0.108,577.88,326.0,251.88,Nordeste,Site,Pix,Concluído
45,2025-02-14,Air Fryer,Casa,1,663.92,0.104,594.87,406.11,188.76,Nordeste,Site,Cartão,Concluído
46,2025-02-15,Caixa de Som,Eletrônicos,1,612.71,0.149,521.42,385.51,135.91,Sul,Marketplace,Cartão,Concluído
47,2025-02-16,Cafeteira,Casa,1,452.87,0.019,444.27,227.08,217.19,Sul,Marketplace,Boleto,Concluído
48,2025-02-17,Garrafa,Esportes,2,194.06,0.016,381.91,231.82,150.09,Nordeste,Site,Boleto,Concluído
49,2025-02-18,Air Fryer,Casa,4,215.32,0.109,767.4,411.43,355.97,Nordeste,App,Boleto,Concluído
50,2025-02-19,Kit Skincare,Beleza,1,112.38,0.087,102.6,70.57,32.03,Norte,Site,Cartão,Cancelado
51,2025-02-20,Secador,Beleza,1,130.4,0.041,125.05,77.94,47.11,Nordeste,App,Pix,Concluído
52,2025-02-21,Kit Skincare,Beleza,2,116.44,0.012,230.09,147.34,82.75,Norte,Site,Pix,Concluído
53,2025-02-22,Kit Skincare,Beleza,1,359.63,0.013,354.95,244.69,110.26,Centro-Oeste,App,Cartão,Concluído
54,2025-02-23,Bola,Esportes,3,142.04,0.134,369.02,209.9,159.12,Sul,Site,Pix,Concluído
55,2025-02-24,Jaqueta,Moda,3,76.03,0.029,221.48,160.47,61.01,Nordeste,App,Boleto,Concluído
56,2025-02-25,Caixa de Som,Eletrônicos,4,874.66,0.049,3327.21,2029.29,1297.92,Sul,Site,Pix,Concluído
57,2025-02-26,Secador,Beleza,1,402.35,0.034,388.67,193.32,195.35,Sul,Site,Pix,Concluído
58,2025-02-27,Cafeteira,Casa,2,654.48,0.053,1239.59,816.6,422.99,Sul,App,Pix,Concluído
59,2025-02-28,Perfume,Beleza,3,447.91,0.01,1330.29,915.21,415.08,Centro-Oeste,Marketplace,Boleto,Concluído
60,2025-03-01,Aspirador,Casa,2,179.55,0.078,331.09,180.45,150.64,Sudeste,App,Cartão,Concluído
61,2025-03-02,Air Fryer,Casa,2,319.63,0.01,632.87,447.54,185.33,Nordeste,Marketplace,Boleto,Concluído
62,2025-03-03,Perfume,Beleza,3,350.88,0.12,926.32,668.66,257.66,Sudeste,Site,Cartão,Concluído
63,2025-03-04,Bola,Esportes,2,252.73,0.035,487.77,260.02,227.75,Sudeste,App,Cartão,Concluído
64,2025-03-05,Aspirador,Casa,3,166.95,0.081,460.28,342.93,117.35,Sudeste,App,Cartão,Concluído
65,2025-03-06,Aspirador,Casa,2,583.97,0.132,1013.77,498.99,514.78,Sul,App,Pix,Concluído
66,2025-03-07,Chapinha,Beleza,3,132.02,0.098,357.25,182.41,174.84,Norte,Marketplace,Pix,Concluído
67,2025-03-08,Jogo de Panelas,Casa,1,211.01,0.08,194.13,98.09,96.04,Sul,Marketplace,Cartão,Concluído
68,2025-03-09,Cafeteira,Casa,4,408.29,0.049,1553.14,1115.46,437.68,Sul,Site,Cartão,Concluído
69,2025-03-10,Chapinha,Beleza,3,283.11,0.05,806.86,521.46,285.4,Sudeste,Marketplace,Pix,Concluído
70,2025-03-11,Secador,Beleza,3,277.84,0.1,750.17,371.81,378.36,Sul,Marketplace,Boleto,Concluído
71,2025-03-12,Smartwatch,Eletrônicos,4,155.02,0.149,527.69,307.17,220.52,Sudeste,Site,Cartão,Concluído
72,2025-03-13,Garrafa,Esportes,3,310.79,0.099,840.07,533.1,306.97,Norte,App,Boleto,Concluído
73,2025-03-14,Tapete de Yoga,Esportes,3,114.99,0.084,315.99,150.11,165.88,Nordeste,App,Pix,Concluído
74,2025-03-15,Jogo de Panelas,Casa,2,151.59,0.11,269.83,192.85,76.98,Sudeste,Site,Cartão,Concluído
75,2025-03-16,Bola,Esportes,4,314.4,0.07,1169.57,808.27,361.3,Norte,App,Boleto,Concluído
76,2025-03-17,Cafeteira,Casa,1,672.06,0.009,666.01,400.65,265.36,Nordeste,Marketplace,Boleto,Concluído
77,2025-03-18,Smartwatch,Eletrônicos,3,786.94,0.084,2162.51,1600.56,561.95,Centro-Oeste,Site,Boleto,Concluído
78,2025-03-19,Chapinha,Beleza,4,371.9,0.144,1273.39,732.62,540.77,Sudeste,Site,Pix,Concluído
79,2025-03-20,Kit Skincare,Beleza,2,308.65,0.026,601.25,448.07,153.18,Sudeste,Site,Pix,Concluído
80,2025-03-21,Chapinha,Beleza,1,265.85,0.104,238.2,154.92,83.28,Centro-Oeste,App,Boleto,Concluído
81,2025-03-22,Corda,Esportes,4,57.84,0.03,224.42,143.72,80.7,Centro-Oeste,Site,Boleto,Concluído
82,2025-03-23,Caixa de Som,Eletrônicos,1,414.93,0.08,381.74,190.79,190.95,Sudeste,Site,Pix,Concluído
83,2025-03-24,Mochila,Esportes,1,149.26,0.015,147.02,105.06,41.96,Centro-Oeste,Site,Boleto,Concluído
84,2025-03-25,Mochila,Esportes,1,113.12,0.068,105.43,60.96,44.47,Sul,App,Boleto,Concluído
85,2025-03-26,Teclado,Eletrônicos,3,673.2,0.113,1791.39,893.31,898.08,Nordeste,Marketplace,Pix,Concluído
86,2025-03-27,Caixa de Som,Eletrônicos,3,486.62,0.052,1383.95,628.01,755.94,Nordeste,Site,Boleto,Concluído
87,2025-03-28,Mouse,Eletrônicos,2,146.46,0.1,263.63,162.9,100.73,Nordeste,Marketplace,Boleto,Cancelado
88,2025-03-29,Fone Bluetooth,Eletrônicos,2,260.55,0.119,459.09,279.23,179.86,Sul,App,Boleto,Concluído
89,2025-03-30,Chapinha,Beleza,4,320.14,0.139,1102.56,734.09,368.47,Centro-Oeste,App,Pix,Concluído
90,2025-03-31,Tênis,Moda,2,84.26,0.035,162.62,116.61,46.01,Norte,App,Boleto,Concluído
91,2025-04-01,Tênis,Moda,1,433.04,0.06,407.06,192.87,214.19,Centro-Oeste,App,Pix,Concluído
92,2025-04-02,Fone Bluetooth,Eletrônicos,1,486.02,0.023,474.84,317.88,156.96,Sudeste,Marketplace,Pix,Concluído
93,2025-04-03,Jaqueta,Moda,3,266.26,0.149,679.76,344.11,335.65,Nordeste,Site,Cartão,Concluído
94,2025-04-04,Camiseta,Moda,1,316.58,0.139,272.58,192.84,79.74,Centro-Oeste,App,Cartão,Concluído
95,2025-04-05,Mouse,Eletrônicos,4,756.24,0.081,2779.94,1934.06,845.88,Norte,App,Boleto,Concluído
96,2025-04-06,Jaqueta,Moda,1,206.51,0.126,180.49,110.5,69.99,Sudeste,Marketplace,Pix,Concluído
97,2025-04-07,Bola,Esportes,1,246.97,0.078,227.71,150.99,76.72,Sul,Marketplace,Cartão,Cancelado
98,2025-04-08,Cafeteira,Casa,4,426.41,0.094,1545.31,841.12,704.19,Sul,App,Boleto,Concluído
99,2025-04-09,Cafeteira,Casa,2,238.23,0.013,470.27,278.09,192.18,Norte,Site,Cartão,Cancelado
100,2025-04-10,Caixa de Som,Eletrônicos,2,800.48,0.113,1420.05,989.05,431.0,Sudeste,Site,Cartão,Concluído
101,2025-04-11,Secador,Beleza,4,366.94,0.019,1439.87,846.33,593.54,Nordeste,App,Pix,Concluído
102,2025-04-12,Mouse,Eletrônicos,3,619.93,0.124,1629.18,908.01,721.17,Centro-Oeste,Marketplace,Pix,Concluído
103,2025-04-13,Hidratante,Beleza,1,388.74,0.117,343.26,205.36,137.9,Sudeste,App,Cartão,Concluído
104,2025-04-14,Aspirador,Casa,4,616.4,0.106,2204.25,1539.61,664.64,Sul,App,Cartão,Concluído
105,2025-04-15,Teclado,Eletrônicos,1,660.86,0.005,657.56,362.03,295.53,Norte,Marketplace,Pix,Cancelado
106,2025-04-16,Tapete de Yoga,Esportes,3,297.84,0.045,853.31,428.47,424.84,Norte,App,Boleto,Concluído
107,2025-04-17,Bolsa,Moda,1,363.86,0.039,349.67,232.04,117.63,Centro-Oeste,App,Pix,Concluído
108,2025-04-18,Perfume,Beleza,4,318.86,0.054,1206.57,841.94,364.63,Norte,App,Cartão,Concluído
109,2025-04-19,Camiseta,Moda,1,328.38,0.013,324.11,155.63,168.48,Norte,Marketplace,Boleto,Concluído
110,2025-04-20,Tênis,Moda,2,388.72,0.141,667.82,348.58,319.24,Sudeste,Site,Cartão,Cancelado
111,2025-04-21,Fone Bluetooth,Eletrônicos,3,210.06,0.083,577.88,284.66,293.22,Nordeste,Site,Boleto,Concluído
112,2025-04-22,Tênis,Moda,3,446.39,0.046,1277.57,708.26,569.31,Centro-Oeste,Marketplace,Cartão,Concluído
113,2025-04-23,Bola,Esportes,3,308.99,0.06,871.35,509.83,361.52,Sudeste,Site,Boleto,Concluído
114,2025-04-24,Calça Jeans,Moda,4,63.16,0.067,235.71,159.02,76.69,Nordeste,App,Boleto,Concluído
115,2025-04-25,Fone Bluetooth,Eletrônicos,3,757.17,0.09,2067.07,1333.97,733.1,Sudeste,Site,Cartão,Cancelado
116,2025-04-26,Tapete de Yoga,Esportes,2,71.24,0.077,131.51,83.68,47.83,Sudeste,App,Boleto,Concluído
117,2025-04-27,Aspirador,Casa,4,281.12,0.138,969.3,538.65,430.65,Norte,Site,Pix,Concluído
118,2025-04-28,Camiseta,Moda,2,384.58,0.075,711.47,499.76,211.71,Nordeste,Marketplace,Cartão,Concluído
119,2025-04-29,Mouse,Eletrônicos,1,211.82,0.149,180.26,106.6,73.66,Centro-Oeste,Site,Pix,Concluído
120,2025-04-30,Aspirador,Casa,1,585.32,0.128,510.4,379.6,130.8,Centro-Oeste,Site,Cartão,Concluído
121,2025-05-01,Cafeteira,Casa,1,594.24,0.031,575.82,368.66,207.16,Nordeste,Site,Boleto,Concluído
122,2025-05-02,Kit Skincare,Beleza,1,248.06,0.14,213.33,104.08,109.25,Norte,Marketplace,Boleto,Concluído
123,2025-05-03,Corda,Esportes,2,32.04,0.017,62.99,41.12,21.87,Sul,Site,Boleto,Cancelado
124,2025-05-04,Bolsa,Moda,4,179.17,0.123,628.53,344.14,284.39,Sudeste,Marketplace,Cartão,Concluído
125,2025-05-05,Smartwatch,Eletrônicos,4,585.88,0.057,2209.94,1449.5,760.44,Norte,App,Pix,Concluído
126,2025-05-06,Kit Skincare,Beleza,3,442.29,0.132,1151.72,542.34,609.38,Nordeste,Site,Pix,Cancelado
127,2025-05-07,Corda,Esportes,2,232.18,0.13,403.99,202.99,201.0,Sudeste,Marketplace,Cartão,Concluído
128,2025-05-08,Kit Skincare,Beleza,1,146.52,0.121,128.79,91.02,37.77,Centro-Oeste,Marketplace,Cartão,Concluído
129,2025-05-09,Corda,Esportes,2,232.88,0.119,410.33,212.61,197.72,Sul,Site,Pix,Concluído
130,2025-05-10,Corda,Esportes,3,202.8,0.046,580.41,406.93,173.48,Centro-Oeste,App,Pix,Concluído
131,2025-05-11,Jaqueta,Moda,3,400.93,0.012,1188.36,634.33,554.03,Nordeste,Marketplace,Pix,Concluído
132,2025-05-12,Mochila,Esportes,2,64.23,0.06,120.75,77.63,43.12,Sudeste,Site,Pix,Cancelado
133,2025-05-13,Chapinha,Beleza,2,352.02,0.026,685.73,451.38,234.35,Nordeste,App,Cartão,Concluído
134,2025-05-14,Tapete de Yoga,Esportes,2,203.21,0.104,364.15,219.87,144.28,Sudeste,Marketplace,Cartão,Concluído
135,2025-05-15,Tênis,Moda,4,483.35,0.052,1832.86,992.66,840.2,Norte,Marketplace,Boleto,Concluído
136,2025-05-16,Tênis,Moda,1,203.84,0.146,174.08,89.44,84.64,Sul,App,Pix,Concluído
137,2025-05-17,Perfume,Beleza,2,299.37,0.096,541.26,248.96,292.3,Norte,App,Boleto,Concluído
138,2025-05-18,Cafeteira,Casa,2,657.18,0.123,1152.69,623.82,528.87,Norte,Site,Cartão,Concluído
139,2025-05-19,Aspirador,Casa,2,134.58,0.02,263.78,170.39,93.39,Nordeste,Site,Cartão,Concluído
140,2025-05-20,Bola,Esportes,3,329.91,0.129,862.05,630.58,231.47,Sul,Marketplace,Boleto,Concluído
141,2025-05-21,Mouse,Eletrônicos,3,644.07,0.138,1665.57,1184.82,480.75,Sudeste,App,Pix,Concluído
142,2025-05-22,Bola,Esportes,4,51.71,0.073,191.74,130.35,61.39,Sudeste,App,Pix,Concluído
143,2025-05-23,Hidratante,Beleza,1,163.4,0.091,148.53,101.97,46.56,Centro-Oeste,App,Pix,Concluído
144,2025-05-24,Secador,Beleza,4,330.35,0.115,1169.44,759.55,409.89,Sudeste,Marketplace,Pix,Concluído
145,2025-05-25,Hidratante,Beleza,1,67.61,0.026,65.85,34.77,31.08,Nordeste,App,Boleto,Concluído
146,2025-05-26,Kit Skincare,Beleza,3,278.69,0.075,773.36,558.49,214.87,Norte,App,Boleto,Concluído
147,2025-05-27,Secador,Beleza,3,181.81,0.06,512.7,333.88,178.82,Norte,Marketplace,Cartão,Concluído
148,2025-05-28,Jaqueta,Moda,3,329.41,0.022,966.49,597.42,369.07,Norte,Site,Pix,Concluído
149,2025-05-29,Air Fryer,Casa,4,98.82,0.055,373.54,180.53,193.01,Sul,Site,Pix,Concluído
150,2025-05-30,Kit Skincare,Beleza,2,397.33,0.01,786.71,459.53,327.18,Sudeste,Marketplace,Pix,Concluído
151,2025-05-31,Smartwatch,Eletrônicos,2,878.26,0.004,1749.49,1028.89,720.6,Nordeste,App,Boleto,Concluído
152,2025-06-01,Smartwatch,Eletrônicos,3,874.48,0.02,2570.97,1823.77,747.2,Sul,Marketplace,Pix,Concluído
153,2025-06-02,Teclado,Eletrônicos,2,694.71,0.144,1189.34,730.25,459.09,Centro-Oeste,Site,Boleto,Concluído
154,2025-06-03,Caixa de Som,Eletrônicos,2,186.67,0.082,342.73,193.34,149.39,Nordeste,Site,Pix,Concluído
155,2025-06-04,Jaqueta,Moda,4,391.22,0.145,1337.97,994.17,343.8,Nordeste,Marketplace,Pix,Concluído
156,2025-06-05,Fone Bluetooth,Eletrônicos,1,100.16,0.065,93.65,45.25,48.4,Nordeste,Marketplace,Cartão,Concluído
157,2025-06-06,Perfume,Beleza,3,49.07,0.047,140.29,80.91,59.38,Norte,Site,Pix,Concluído
158,2025-06-07,Garrafa,Esportes,3,133.56,0.076,370.23,171.27,198.96,Nordeste,Marketplace,Pix,Concluído
159,2025-06-08,Fone Bluetooth,Eletrônicos,4,480.69,0.066,1795.86,1206.77,589.09,Sudeste,Site,Cartão,Concluído
160,2025-06-09,Calça Jeans,Moda,4,396.68,0.016,1561.33,1132.62,428.71,Nordeste,Marketplace,Boleto,Concluído
161,2025-06-10,Jaqueta,Moda,2,357.48,0.096,646.32,345.14,301.18,Norte,Marketplace,Boleto,Concluído
162,2025-06-11,Smartwatch,Eletrônicos,3,445.64,0.032,1294.14,915.61,378.53,Nordeste,Marketplace,Pix,Concluído
163,2025-06-12,Mochila,Esportes,1,117.56,0.093,106.63,57.33,49.3,Centro-Oeste,Site,Boleto,Concluído
164,2025-06-13,Teclado,Eletrônicos,4,897.64,0.098,3238.69,2342.32,896.37,Centro-Oeste,Marketplace,Pix,Concluído
165,2025-06-14,Calça Jeans,Moda,1,241.78,0.023,236.22,159.73,76.49,Norte,Site,Cartão,Concluído
